Site ID,Nom du Site,Province,District,Actif,Date Mise à Jour
01010103,HOPITAL GENERAL MPANDA,Bubanza,DS Mpanda,,
01010120,CDS Bubanza II,Bubanza,DS Bubanza,,
01010201,Centre de santé Gihanga,Bubanza,DS Mpanda,,
01010202,CDS Umutima - DS mpanda,Bubanza,DS Mpanda,,
01080101,CDS Musigati,Bubanza,DS Bubanza,,
01100101,CDS Ninga,Bubanza,DS Mpanda,,
01100202,CDS Bubanza I,Bubanza,DS Bubanza,,
01100303,CDS Mpanda,Bubanza,DS Mpanda,,
01100404,CDS Gihanga,Bubanza,DS Mpanda,,
01100505,CDS Buramata,Bubanza,DS Mpanda,,
01100606,CDS Muzinda,Bubanza,DS Mpanda,,
01120101,CDS Mukomere,Bubanza,DS Mpanda,,
01120201,CDS Murengeza,Bubanza,DS Mpanda,,
01120301,CDS Ruyange,Bubanza,DS Mpanda,,
01120401,HC de Musigati (ex CDS Musigati),Bubanza,DS Bubanza,,
01120501,CDS Amahoro de Kagwema,Bubanza,DS Mpanda,,
01120601,CDS Ami de Buringa,Bubanza,DS Mpanda,,
01120701,CDS Cona,Bubanza,DS Bubanza,,
01120801,CDS Murira,Bubanza,DS Mpanda,,
01150139,CDS Remesha,Bubanza,DS Mpanda,,
02010101,HOPITAL DE DISTRICT RUSHUBI,Bujumbura,DS Isale,,
02010201,CDS GTUMBA,Bujumbura,DS Isale,,
02020101,SERVICE YEZU MWIZA,Bujumbura mairie,DS Bujumbura centre,,
02020201,HOPITAL DE DISTRICT KABEZI,Bujumbura,DS Kabezi,,
02020509,CDS Maramvya Bujumbura,Bujumbura,DS Isale,,
02030101,HOPITAL D'IJENDA,Bujumbura,DS Rwibaga,,
02030105,CDS RUKARAMU,Bujumbura,DS Isale,,
02030106,CDS MUBIMBI,Bujumbura,DS Kabezi,,
02030120,CDS Mageyo,Bujumbura,DS Isale,,
02030505,CDS Rubirizi,Bujumbura,DS Isale,,
02030606,CDS Mutumba,Bujumbura,DS Kabezi,,
02030607,HOPITAL RWIBAGA,Bujumbura,DS Rwibaga,,
02030608,CDS Rubirizi,Bujumbura,DS Isale,,
02100101,CDS Kabezi,Bujumbura,DS Kabezi,,
02100202,CDS Matara,Bujumbura,DS Rwibaga,,
02100303,CDS Kirekura,Bujumbura,DS Isale,,
02100404,HC Mubimbi,Bujumbura,DS Isale,,
02100505,CDS Ruyaga,Bujumbura,DS Kabezi,,
02100606,HCMH Kajaga,Bujumbura,DS Isale,,
02100607,CDS Nyabibondo,Bujumbura,DS Rwibaga,,
02120101,CDS Kiriri,Bujumbura,DS Kabezi,,
02120201,HC Nyabiraba,Bujumbura,DS Rwibaga,,
02120301,CDS Rushubi,Bujumbura,DS Isale,,
02120401,HC Kanyosha,Bujumbura,DS Kabezi,,
02120501,CDS Mutambu,Bujumbura,DS Kabezi,,
02120601,CDS Kinama,Bujumbura,DS Isale,,
02120701,CDS Kirombwe,Bujumbura,DS Kabezi,,
02120801,CDS Muberure,Bujumbura,DS Isale,,
02120901,CDS Burima,Bujumbura,DS Kabezi,,
02121001,CDS Notre Dame de Lourde,Bujumbura,DS Isale,,
02121101,CDS Sororezo,Bujumbura,DS Kabezi,,
02121201,CDS Kiyenzi,Bujumbura,DS Kabezi,,
03010101,HOPITAL BURURI,Bururi,DS Bururi,,
03010102,FVS BURURI,Bururi,DS Bururi,,
03010401,HOPITAL MATANA,Bururi,DS Matana,,
03010408,RAMA Matana,Bururi,DS Matana,,
03010430,CDS Kayero,Rutana,DS Rutana,,
03010431,CDS Rutana,Rutana,DS Rutana,,
03010432,CDS Mukungu,Makamba,DS Nyanza-Lac,,
03010433,CDS Muramba,Bururi,DS Matana,,
03010434,CDS Muzye,Rutana,DS Gihofi,,
03010435,CDS Muzenga I,Bururi,DS Bururi,,
03010611,CDS Murago,Rumonge,DS Bugarama,,
03010612,CDS Kigwena I,Rumonge,DS Rumonge,,
03010618,CDS MAGARA III,Rumonge,DS Bugarama,,
03010620,CDS Prison Rumonge,Rumonge,DS Rumonge,,
03010621,CDS Muyama - DS Rumonge,Rumonge,DS Rumonge,,
03010622,CDS Gatete - DS Rumonge,Rumonge,DS Rumonge,,
03010623,CDS Minago - DS Rumonge,Rumonge,DS Rumonge,,
03010624,CDS Kagongo - DS Rumonge,Rumonge,DS Rumonge,,
03010811,CDS Birimba,Rumonge,DS Rumonge,,
03010901,CLINIQUE KIGUTU,Bururi,DS Bururi,,
03010912,CLIMIL RUMONGE,Rumonge,DS Rumonge,,
03030101,HOPITAL RUMONGE,Rumonge,DS Rumonge,,
03030115,ANSS Rumonge,Rumonge,DS Rumonge,,
03030607,Cl. St David,Rumonge,DS Rumonge,,
03040701,HOPITAL RUTOVU,Bururi,DS Rutovu,,
03040711,CDS Abubef (Rumonge),Rumonge,DS Rumonge,,
03040720,CDS Kiryama,Bururi,DS Rutovu,,
03120101,CDS Matana,Bururi,DS Matana,,
03120201,CDS Butwe,Bururi,DS Matana,,
03120301,CDS Horezo,Bururi,DS Rutovu,,
03120401,CDS Kiremba,Bururi,DS Bururi,,
04010101,Hopital Cankuzo,Cankuzo,DS Cankuzo,,
04010106,CLIMIL CANKUZO,Cankuzo,DS Cankuzo,,
04020301,HOPITAL MURORE,Cankuzo,DS Murore,,
04020302,CDS Murore(Cankuzo),Cankuzo,DS Murore,,
04020303,CDS  MUYAGA,Cankuzo,DS Cankuzo,,
04080101,CDS Kigarika,Cankuzo,DS Cankuzo,,
04080201,CDS Twinkwavu,Cankuzo,DS Cankuzo,,
04100101,CDS Munzenze,Cankuzo,DS Murore,,
04100202,CDS Gasenyi,Cankuzo,DS Murore,,
04100303,CDS Kigamba,Cankuzo,DS Cankuzo,,
04100404,CDS Ntunda,Cankuzo,DS Murore,,
04100505,CDS Camp Kavumu,Cankuzo,DS Cankuzo,,
04100606,CDS Gishungo,Cankuzo,DS Murore,,
04100707,CDS Rusigabangazi,Cankuzo,DS Murore,,
04100708,CDS Camazi,Cankuzo,DS Murore,,
04100808,CDS CANKUZO,Cankuzo,DS Cankuzo,,
04120101,CDS Shinge,Cankuzo,DS Cankuzo,,
